model_name,regime,risk_framing,mode,condition,trial,task_id,tool_calls,hit_budget,tokens_used,success,termination_reason,conf_thresh,last_conf,liveness_failure
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,0,deadline_policy,0,False,321,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,1,deadline_policy,0,False,368,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,2,deadline_policy,0,False,384,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,3,deadline_policy,1,False,564,True,answer_provided,0.9,0.95,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,4,deadline_policy,1,False,603,True,answer_provided,0.9,0.95,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,5,deadline_policy,0,False,340,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,6,deadline_policy,0,False,335,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,7,deadline_policy,0,False,282,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,8,deadline_policy,5,True,1862,False,budget_exhausted,0.9,0.95,1
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,9,deadline_policy,0,False,236,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,10,deadline_policy,0,False,384,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,11,deadline_policy,5,True,1698,False,budget_exhausted,0.9,0.95,1
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,12,deadline_policy,5,True,1728,False,budget_exhausted,0.9,0.95,1
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,13,deadline_policy,2,False,839,True,answer_provided,0.9,0.95,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,14,deadline_policy,5,True,1387,False,budget_exhausted,0.9,0.95,1
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,15,deadline_policy,1,False,601,True,answer_provided,0.9,0.95,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,16,deadline_policy,0,False,251,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,17,deadline_policy,5,True,1792,False,budget_exhausted,0.9,0.95,1
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,18,deadline_policy,0,False,384,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,19,deadline_policy,0,False,211,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,20,deadline_policy,0,False,308,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,21,deadline_policy,0,False,167,False,answer_provided,0.9,,0
meta-llama/Meta-Llama-3.1-8B-Instruct,Baseline,low,v1,benign,22,deadline_policy,0,False,384,False,answer_provided,0.9,,0
