model_name,experiment,regime,risk_framing,trial,policy,max_calls,task_type,condition,tool_calls,hit_budget,tokens_used,success,termination_reason,mode,conf_thresh,task_id,last_conf,liveness_failure
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,0,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,1,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,2,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,3,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,4,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,5,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,6,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,7,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,8,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,9,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,10,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,11,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,12,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,13,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,14,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,15,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,16,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,17,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,18,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,19,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,20,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,21,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,22,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
Qwen/Qwen2.5-7B-Instruct,baseline,Baseline,low,23,greedy,5,benign,benign,1,False,274,True,answer_provided,v1,0.9,arith_37_42,0.95,0
